restaurant_name,food_name,calories,protein_g,total_fat_g,sodium_mg,total_carbs_g,saturated_fat_g,trans_fat_g,cholesterol_mg,fiber_g,sugars_g,food_id,food_name_cn,description,allergens,local_image_path,scraped_date
McDonald's,Nonfat Latte (Large),120,12,0,160,18,0,0,5,0,18,953359,,"Nonfat Latte (Large), McCafe Coffees - Nonfat Milk",,,2026-02-04
McDonald's,Nonfat Latte with Sugar Free Vanilla Syrup (Large),110,11,0,190,27,0,0,5,0,15,953383,,"Nonfat Latte with Sugar Free Vanilla Syrup (Large), McCafe Coffees - Nonfat Milk",,,2026-02-04
McDonald's,Latte (Medium),180,10,10,130,13,6,0,30,0,13,948094,,"Latte (Medium), McCafe Coffees - Whole Milk",,,2026-02-04
McDonald's,Latte with Sugar Free Vanilla Syrup (Large),180,10,10,180,25,6,0,30,0,13,953430,,"Latte with Sugar Free Vanilla Syrup (Large), McCafe Coffees - Whole Milk",,,2026-02-04
McDonald's,Nonfat Latte (Medium),110,10,0,140,15,0,0,5,0,15,953358,,"Nonfat Latte (Medium), McCafe Coffees - Nonfat Milk",,,2026-02-04
McDonald's,Chicken McNuggets (4 piece),190,9,12,360,12,2,0,25,1,0,180252,,"Chicken McNuggets (4 piece), Chicken McNuggets/Chicken Selects Premium Breast Strips/Sauces",,,2026-02-04
McDonald's,Cappuccino (Large),180,9,10,130,13,6,0,30,0,13,175006,,"Cappuccino (Large), McCafe Coffees - Whole Milk",,,2026-02-04
McDonald's,1% Low Fat Chocolate Milk Jug,170,9,3,150,26,1.5,0,5,1,25,948076,,"1% Low Fat Chocolate Milk Jug, Beverages",,,2026-02-04
McDonald's,Premium Bacon Ranch Salad with Grilled Chicken,260,33,9,1010,12,4,0,90,3,5,953255,,"Premium Bacon Ranch Salad with Grilled Chicken, Salads",,,2026-02-04
McDonald's,Premium Grilled Chicken Ranch BLT Sandwich,380,31,10,1000,41,3,0,75,4,9,953225,,"Premium Grilled Chicken Ranch BLT Sandwich, Sandwiches",,,2026-02-04
McDonald's,Premium Southwest Salad with Grilled Chicken,320,30,9,960,30,3,0,70,6,11,953252,,"Premium Southwest Salad with Grilled Chicken, Salads",,,2026-02-04
McDonald's,Premium Caesar Salad with Grilled Chicken,220,30,6,890,12,3,0,75,3,5,953258,,"Premium Caesar Salad with Grilled Chicken, Salads",,,2026-02-04
McDonald's,Premium Bacon Ranch Salad with Crispy Chicken,370,29,20,970,20,6,0,75,3,6,953256,,"Premium Bacon Ranch Salad with Crispy Chicken, Salads",,,2026-02-04
McDonald's,Premium Grilled Chicken Classic Sandwich,360,27,9,820,41,2,0,65,4,8,953221,,"Premium Grilled Chicken Classic Sandwich, Sandwiches",,,2026-02-04
McDonald's,Premium Caesar Salad with Crispy Chicken,330,26,17,840,20,4.5,0,60,3,6,953259,,"Premium Caesar Salad with Crispy Chicken, Salads",,,2026-02-04
McDonald's,Southern Style Crispy Chicken Sandwich,400,24,17,1030,39,3,0,45,1,6,953227,,"Southern Style Crispy Chicken Sandwich, Sandwiches",,,2026-02-04
