name,calories,total_fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,total_carbohydrates_g,dietary_fiber_g,sugars_g,added_sugars_g,protein_g
Bell Sauce Dipping Sauce,210,21,3,0,10,210,5,1,4,4,<1
Chicken Nuggets - 5 Piece,320,13,1.5,0,55,1050,25,3,0,0,25
Chicken Nuggets - 10 Piece,630,26,3,0,105,2110,49,5,0,0,51
Dragonfruit Freeze® (16 oz),160,0,0,0,0,45,41,0,41,41,0
Dragonfruit Freeze® (20 oz),200,0,0,0,0,60,52,0,51,51,0
Dragonfruit Freeze® with Dragonfruit Syrup (16 oz),170,0,0,0,0,50,46,0,44,44,0
Dragonfruit Freeze® with Dragonfruit Syrup (20 oz),210,0,0,0,0,60,56,0,55,55,0
Dragonfruit Strawberry Limonada,200,0,0,0,0,160,52,0,50,49,0
Hidden Valley™ Diablo Ranch Dipping Sauce,210,22,3.5,0,15,210,3,0,2,<1,<1
Jalapeno Honey Mustard Dipping Sauce,200,19,2.5,0,5,160,8,<1,7,7,<1
Loaded Taco Fries,590,38,7,0,30,1160,51,7,2,0,12
Mango Peach Limonada,210,0,0,0,0,190,56,0,56,54,0
Orange Vanilla Cream Soda Freeze™ (16 oz),210,1,0.5,0,<5,75,53,0,50,50,0
Orange Vanilla Cream Soda Freeze™ (20 oz),250,1,0.5,0,<5,90,64,0,60,60,0
Pineapple Dream Refresca,220,1,0.5,0,<5,170,55,0,53,52,0
Strawberry Dream Refresca,220,1,0.5,0,<5,170,57,0,54,54,0
Strawberry Passionfruit Limonada,210,0,0,0,0,190,56,0,55,55,0
Supreme Nacho Fries,550,35,7,0,35,1240,45,6,3,0,13
Vanilla Cream Soda Freeze™ (16 oz),200,1,0.5,0,<5,70,49,0,47,47,0
Vanilla Cream Soda Freeze™ (20 oz),240,1,0.5,0,<5,90,60,0,58,58,0
Avocado Salsa Verde Packet,50,5,1,0,0,70,<1,0,0,0,0
Cantina Chicken Bowl,480,23,7,0,75,1170,44,10,3,0,24
Cantina Chicken Burrito,530,28,9,0,80,1190,44,5,4,1,24
Cantina Chicken Crispy Taco,270,15,6,0,50,520,19,4,<1,0,15
Cantina Chicken Quesadilla,550,28,14,0,90,1310,46,5,3,1,29
Cantina Chicken Soft Taco,210,10,3.5,0,35,530,19,3,2,<1,12
Black Bean Chalupa Supreme® (V),340,17,3.5,0,10,450,36,7,4,<1,10
Chalupa Supreme® - Beef,350,20,5,0,25,570,32,4,3,<1,12
Chalupa Supreme® - Chicken,330,17,3.5,0,35,580,30,3,3,<1,15
Chalupa Supreme® - Steak,340,18,4.5,0,30,590,30,3,4,2,15
Cheesy Gordita Crunch,480,26,10,0,50,830,44,6,4,<1,20
Crunchy Taco,170,9,4,0,25,310,13,3,0,0,7
Crunchy Taco Supreme®,190,10,4.5,0,25,320,16,3,1,0,8
Doritos® Cheesy Gordita Crunch - Nacho Cheese,480,26,10,0,50,890,43,5,4,1,20
Double Stacked Taco,320,16,5,0,25,610,34,4,2,<1,10
Nacho Cheese Doritos® Locos Taco,170,10,4,0,25,370,13,3,<1,0,7
Nacho Cheese Doritos® Locos Taco Supreme®,190,11,4.5,0,30,380,15,3,2,0,8
Soft Taco - Beef,180,8,4,0,25,500,18,3,1,<1,9
Soft Taco - Chicken,160,5,2.5,0,35,510,16,1,1,<1,12
Soft Taco Supreme® - Beef,200,9,5,0,25,520,21,3,2,<1,9
Soft Taco Supreme® - Chicken,180,6,3.5,0,35,520,19,2,2,<1,12
Spicy Potato Soft Taco (V),240,11,3,0,10,470,28,2,1,<1,5
Bean Burrito (V),360,10,4.5,0,5,1080,54,8,3,2,13
Beefy 5-Layer Burrito,490,18,8,0,30,1290,65,7,4,2,17
Black Bean Grilled Cheese Burrito,680,33,13,0,55,1360,72,9,5,2,23
Burrito Supreme® - Beef,390,14,6,0,25,1160,52,8,4,2,16
Burrito Supreme® - Chicken,370,11,5,0,35,1170,49,6,4,2,19
Burrito Supreme® - Steak,380,12,6,0,30,1180,50,6,5,3,19
Cheesy Bean & Rice Burrito (V),400,16,3.5,0,<5,950,56,6,3,2,9
Cheesy Double Beef Burrito,560,25,9,0,50,1340,64,7,3,2,20
Chicken Enchilada Burrito,370,11,5,0,40,1150,50,4,3,2,18
Chili Cheese Burrito (regional),380,17,9,0,40,970,41,4,2,1,15
Grilled Cheese Burrito,690,36,15,0,70,1480,68,7,4,2,25
Grilled Cheese Burrito - Chicken,670,33,13,0,80,1490,66,6,4,2,28
Grilled Cheese Burrito - Steak,680,34,14,0,75,1500,66,6,5,2,28
Chips and Nacho Cheese Sauce (V),220,13,1.5,0,0,280,24,2,1,0,3
Loaded Beef Nachos,450,24,5,0,20,930,45,9,2,<1,12
Nachos BellGrande® - Beef,730,38,6,0,20,1180,81,13,4,<1,17
Nachos BellGrande® - Chicken,710,35,5,0,30,1190,79,12,4,<1,20
Nachos BellGrande® - Steak,720,36,5,0,25,1200,79,12,5,1,20
Quesadilla - Cheese (V),440,22,11,0,50,980,43,4,3,1,18
Quesadilla - Chicken,490,23,11,0,75,1240,44,4,3,1,26
Quesadilla - Steak,500,24,12,0,70,1260,44,4,4,2,26
3-Cheese Chicken Flatbread Melt,320,14,6,0,50,750,30,3,4,<1,20
Black Bean Crunchwrap Supreme® (V),520,17,5,0,<5,1090,78,8,6,2,13
Cheesy Roll Up (V),170,8,5,0,25,420,18,1,1,<1,8
Crunchwrap Supreme®,530,20,7,0,20,1210,74,6,6,2,15
Mexican Pizza,530,27,8,0,40,1000,51,8,3,<1,19
Stacker,390,17,8,0,40,1060,43,4,3,2,17
Veggie Mexican Pizza (V),460,23,6,0,25,740,48,7,3,<1,14
Black Beans & Rice (V),160,4.5,0,0,0,370,25,5,<1,0,4
Black Beans (V),50,1.5,0,0,0,140,7,4,0,0,3
Cheesy Fiesta Potatoes (V),240,12,1.5,0,<5,520,29,3,1,0,3
Cinnabon® Delights™ (2 Pk) (V),170,11,3.5,0,5,70,15,<1,9,9,2
Cinnabon® Delights™ (12 Pk - Serves 4) (V),1010,68,22,0,40,430,88,5,52,52,11
Cinnamon Twists (V),170,6,0.5,0,0,115,27,<1,10,10,1
Diablo Sauce Packet (V),0,0,0,0,0,35,0,0,0,0,0
Fire Sauce Packet (V),0,0,0,0,0,55,0,0,0,0,0
Hot Sauce Packet (V),0,0,0,0,0,45,0,0,0,0,0
Large Nacho Fries,500,29,2.5,0,0,1090,52,5,1,0,6
Mild Sauce Packet (V),0,0,0,0,0,30,0,0,0,0,0
Nacho Fries,350,21,2,0,0,790,36,3,1,0,4
Pintos N Cheese (V),170,6,3,0,10,680,19,7,1,<1,9
Blue Raspberry Freeze™ (16 oz),120,0,0,0,0,35,30,0,30,30,0
Blue Raspberry Freeze™ (20 oz),150,0,0,0,0,40,38,0,38,38,0
Caramel Dulce Churro Chiller (16 oz),500,19,12,0.5,<5,350,78,0,77,66,7
Caramel Dulce Churro Chiller (20 oz),680,25,16,1,10,470,106,0,103,89,10
Cinnabon® Caramel Coffee - Hot,170,2,1.5,0,5,65,35,0,22,21,2
Cinnabon® Caramel Coffee - Iced (16 oz),240,9,6,0,0,150,35,0,23,19,3
Cinnabon® Caramel Coffee - Iced (20 oz),240,9,6,0,0,150,35,0,23,19,3
Cinnabon® Caramel Latte Chiller (16 oz),410,16,10,0,<5,240,59,0,45,37,5
Cinnabon® Caramel Latte Chiller (19 oz),530,22,13,0.5,<5,340,75,0,60,49,8
Cinnabon® Delights™ Coffee - Hot,160,2,1.5,0,5,75,34,0,22,22,1
Cinnabon® Delights™ Coffee - Iced,160,2,1.5,0,5,85,34,0,22,22,1
Confetti Cookie Freeze™ (16 oz),220,1,0.5,0,<5,80,55,0,53,53,0
Confetti Cookie Freeze™ (20 oz),260,1,0.5,0,<5,95,66,0,63,63,0
Dragonfruit Berry Agua Refresca,170,0,0,0,0,40,43,0,41,40,0
Hot Coffee with Creamer,45,1,0.5,0,<5,10,8,0,7,7,<1
Iced Coffee with Creamer,45,1,0.5,0,<5,15,8,0,7,7,<1
Lowfat Milk - CA (Regional),100,2,1.5,0,10,130,13,0,12,0,9
Lowfat Milk - Federal (Regional),80,2,1.5,0,10,100,10,0,9,0,7
Mango Peach Agua Refresca,170,0,0,0,0,40,43,0,42,40,0
Mexican Chocolate Churro Chiller (16 oz),430,18,11,0.5,0,330,63,0,58,47,7
Mexican Chocolate Churro Chiller (20 oz),570,24,15,1,0,440,82,0,75,60,9
Mexican Mocha Coffee - Hot,160,2.5,1.5,0,5,55,32,0,20,19,2
Mexican Mocha Coffee - Iced (16 oz),260,11,6,0,<5,125,37,0,26,22,3
Mexican Mocha Coffee - Iced (20 oz),280,11,6,0,<5,140,42,0,28,24,4
Mexican Mocha Latte Chiller (16 oz),430,17,10,0.5,5,220,61,0,48,41,6
Mexican Mocha Latte Chiller (20 oz),550,23,14,0.5,5,320,77,0,64,52,8
Mtn Dew® Baja Blast Freeze™ (16 oz),150,0,0,0,0,45,41,0,41,41,0
Mtn Dew® Baja Blast Freeze™ (20 oz),190,0,0,0,0,55,51,0,51,51,0
Orange Juice,140,0,0,0,0,20,33,<1,28,28,2
Pineapple Lime Rockstar Refresca,50,0,0,0,0,30,12,0,11,11,0
Pink Lemonade Frost (16 oz),190,1.5,1,0,0,135,47,0,47,45,<1
Pink Lemonade Frost (20 oz),270,3,2,0,0,190,66,0,65,62,1
Premium Roast Coffee - Hot,0,0,0,0,0,5,0,0,0,0,0
Premium Roast Coffee - Iced,0,0,0,0,0,20,0,0,0,0,0
Strawberry Matcha Chiller (16 oz),510,21,13,0.5,0,290,74,0,61,50,6
Strawberry Matcha Chiller (20 oz),680,27,16,1,0,390,100,0,82,67,8
Strawberry Passionfruit Agua Refresca,170,0,0,0,0,40,43,0,41,41,0
Tropical Punch Rockstar Refresca,80,0,0,0,0,65,20,0,19,19,0
Vanilla Crema Coffee - Hot,100,2,1,0,5,10,20,0,14,14,2
Vanilla Crema Coffee - Iced (16 oz),220,10,6,0,<5,95,28,0,22,19,3
Vanilla Crema Coffee - Iced (20 oz),220,10,6,0,<5,95,29,0,22,19,3
Vanilla Crema Latte Chiller (16 oz),390,17,10,0.5,5,190,53,0,44,37,5
Vanilla Crema Latte Chiller (20 oz),510,23,14,0.5,5,290,69,0,60,49,8
Water,0,0,0,0,0,0,0,0,0,0,0
Wild Strawberry Churro Chiller (16 oz),440,17,11,0.5,0,310,64,0,60,49,6
Wild Strawberry Churro Chiller (20 oz),580,23,15,1,0,400,85,0,78,63,8
3-Cheese Chicken Flatbread Melt - Value Menu,320,14,6,0,50,750,30,3,4,<1,20
Avocado Ranch Chicken Stacker,350,15,4.5,0,35,890,40,3,3,1,16
Beefy Potato Loaded Griller,480,23,6,0,25,1120,56,5,3,2,12
Cheesy Bean & Rice Burrito - Value Menu,400,16,3.5,0,<5,950,56,6,3,2,9
Cheesy Double Beef Burrito - Value Menu,560,25,9,0,50,1340,64,7,3,2,20
Cheesy Fiesta Potatoes - Value Menu,240,12,1.5,0,<5,520,29,3,1,0,3
Cheesy Roll Up - Value Menu,170,8,5,0,25,420,18,1,1,<1,8
Chicken Enchilada Burrito - Value Menu,370,11,5,0,40,1150,50,4,3,2,18
Chips and Nacho Supreme Dip,360,19,4.5,0,20,720,37,7,3,0,10
Double Stacked Taco - Value Menu,320,16,5,0,25,610,34,4,2,<1,10
Loaded Beef Nachos - Value Menu,450,24,5,0,20,930,45,9,2,<1,12
Mini Taco Salad,280,15,4,0,20,490,27,6,2,0,9
Spicy Potato Soft Taco - Value Menu,240,11,3,0,10,470,28,2,1,<1,5
Bean Burrito,360,10,4.5,0,5,1080,54,8,3,2,13
Black Bean Chalupa Supreme®,340,17,3.5,0,10,450,36,7,4,<1,10
