name,category,url,image_url,image_path,price,calories,calories_kcal,sodium_mg,sugars_g,protein_g,description,price_cal_text
Creamy Chipotle Crispy Chicken Soft Taco,classic tacos,https://www.tacobell.com/food/tacos/creamy-chipotle-crispy-chicken-taco,https://www.tacobell.com/images/29014_creamy_chipotle_crispy_chicken_taco_269x269.jpg,images/Creamy_Chipotle_Crispy_Chicken_Soft_Taco.jpg,$0.00,0,True,False,False,False,Creamy Chipotle Crispy Chicken Burrito,
Avocado Ranch Crispy Chicken Soft Taco,classic tacos,https://www.tacobell.com/food/tacos/avocado-ranch-crispy-chicken-taco,https://www.tacobell.com/images/29015_avocado_ranch_crispy_chicken_taco_269x269.jpg,images/Avocado_Ranch_Crispy_Chicken_Soft_Taco.jpg,$0.00,0,True,False,False,False,Cantina Chicken Crispy Taco,
Cantina Chicken Crispy Taco,classic tacos,https://www.tacobell.com/food/deals-and-combos/cantina-chicken-crispy-taco,https://www.tacobell.com/images/23471_new_cantina_chicken_crispy_taco_269x269.jpg,images/Cantina_Chicken_Crispy_Taco.jpg,$0.00,0,True,False,False,False,Cantina Chicken Quesadilla,
Cantina Chicken Soft Taco,classic tacos,https://www.tacobell.com/food/deals-and-combos/cantina-chicken-soft-taco,https://www.tacobell.com/images/23470_new_cantina_chicken_soft_taco_269x269.jpg,images/Cantina_Chicken_Soft_Taco.jpg,$0.00,0,True,False,False,False,Cantina Chicken Crispy Taco,
Soft Taco,classic tacos,https://www.tacobell.com/food/tacos/soft-taco,https://www.tacobell.com/images/22110_soft_taco_269x269.jpg,images/Soft_Taco.jpg,$0.00,0,True,False,False,False,"Soft Taco with Reduced-Fat Sour Cream, Pico De Gallo, no Lettuce",
Soft Taco Supreme®,classic tacos,https://www.tacobell.com/food/tacos/soft-taco-supreme,https://www.tacobell.com/images/22111_soft_taco_supreme_269x269.jpg,images/Soft_Taco_Supreme.jpg,$0.00,0,True,False,False,False,Cantina Chicken Crispy Taco,
Spicy Potato Soft Taco,classic tacos,https://www.tacobell.com/food/cravings-value-menu/spicy-potato-soft-taco,https://www.tacobell.com/images/22259_spicy_potato_soft_taco_269x269.jpg,images/Spicy_Potato_Soft_Taco.jpg,$0.00,0,True,False,False,False,Cheesy Gordita Crunch,
Crunchy Taco,classic tacos,https://www.tacobell.com/food/tacos/crunchy-taco,https://www.tacobell.com/images/22100_crunchy_taco_269x269.jpg,images/Crunchy_Taco.jpg,$0.00,0,True,False,False,False,"Crunchy Taco with Reduced-Fat Sour Cream and Pico De Gallo, no Lettuce.",
Crunchy Taco Supreme®,classic tacos,https://www.tacobell.com/food/tacos/crunchy-taco-supreme,https://www.tacobell.com/images/22101_crunchy_taco_supreme_269x269.jpg,images/Crunchy_Taco_Supreme.jpg,$0.00,0,True,False,False,False,Nacho Cheese Doritos® Locos Tacos,
Nacho Cheese Doritos® Locos Tacos,classic tacos,https://www.tacobell.com/food/tacos/nacho-cheese-doritos-locos-tacos,https://www.tacobell.com/images/22172_nacho_cheese_doritos_locos_tacos_269x269.jpg,images/Nacho_Cheese_Doritos_Locos_Tacos.jpg,$0.00,0,True,False,False,False,Cantina Chicken Crispy Taco,
