name,code,category,url,image_url,image_path,price,calories,description,vegetarian
Cheesy Toasted Breakfast Burrito Bacon,30179,Breakfast,https://www.tacobell.com/food/breakfast/cheesy-toasted-burrito-bacon,https://www.tacobell.com/images/30179_cheesy_toasted_burrito_bacon_269x269.jpg,images/Cheesy_Toasted_Breakfast_Burrito_Bacon.jpg,$1.99,350,,False
Cheesy Toasted Breakfast Burrito Sausage,30180,Breakfast,https://www.tacobell.com/food/breakfast/cheesy-toasted-breakfast-burrito,https://www.tacobell.com/images/30180_cheesy_toasted_breakfast_burrito_sausage_269x269.jpg,images/Cheesy_Toasted_Breakfast_Burrito_Sausage.jpg,$1.99,350,,False
Cheesy Toasted Breakfast Burrito Potato,30181,Breakfast,https://www.tacobell.com/food/breakfast/cheesy-toasted-breakfast-burrito-potato,https://www.tacobell.com/images/30181_cheesy_toasted_burrito_fiesta_potato_269x269.jpg,images/Cheesy_Toasted_Breakfast_Burrito_Potato.jpg,$1.99,340,,True
Grande Toasted Breakfast Burrito Steak,30187,Breakfast,https://www.tacobell.com/food/breakfast/grande-toasted-breakfast-burrito-steak,https://www.tacobell.com/images/30187_grande_toasted_burrito_steak_269x269.jpg,images/Grande_Toasted_Breakfast_Burrito_Steak.jpg,$5.49,570,,False
Grande Toasted Breakfast Burrito Sausage,30186,Breakfast,https://www.tacobell.com/food/breakfast/grande-toasted-breakfast-burrito-sausage,https://www.tacobell.com/images/30186_grande_toasted_burrito_sausage_269x269.jpg,images/Grande_Toasted_Breakfast_Burrito_Sausage.jpg,$5.29,570,,False
Grande Toasted Breakfast Burrito Bacon,30185,Breakfast,https://www.tacobell.com/food/breakfast/grande-toasted-breakfast-burrito-bacon,https://www.tacobell.com/images/30185_grande_toasted_burrito_bacon_269x269.jpg,images/Grande_Toasted_Breakfast_Burrito_Bacon.jpg,$5.19,570,,False
Breakfast Quesadilla Bacon,30151,Breakfast,https://www.tacobell.com/food/breakfast/breakfast-quesadilla-bacon,https://www.tacobell.com/images/30151_breakfast_quesadilla_269x269.jpg,images/Breakfast_Quesadilla_Bacon.jpg,$5.19,510,,False
Breakfast Quesadilla Steak,30153,Breakfast,https://www.tacobell.com/food/breakfast/breakfast-quesadilla-steak,https://www.tacobell.com/images/30153_breakfast_quesadilla_steak_269x269.jpg,images/Breakfast_Quesadilla_Steak.jpg,$5.29,510,,False
Breakfast California Crunchwrap,30093,Breakfast,https://www.tacobell.com/food/breakfast/breakfast-crunchwrap-california,https://www.tacobell.com/images/30093_breakfast_crunchwrap_california_269x269.jpg,images/Breakfast_California_Crunchwrap.jpg,$5.19,640,,False
Breakfast Crunchwrap Bacon,30029,Breakfast,https://www.tacobell.com/food/breakfast/breakfast-crunchwrap,https://www.tacobell.com/images/30029_breakfast_crunchwrap_269x269.jpg,images/Breakfast_Crunchwrap_Bacon.jpg,$4.99,670,,False
Breakfast Crunchwrap Sausage,30028,Breakfast,https://www.tacobell.com/food/breakfast/breakfast-crunchwrap-sausage,https://www.tacobell.com/images/30028_breakfast_crunchwrap_sausage_patty_269x269.jpg,images/Breakfast_Crunchwrap_Sausage.jpg,$5.39,750,,False
